model,availability,price,barcode
"TC770036","39","1203.0000","6009515883515"
"TC770037","13","2314.0000","6009515883522"
"TC770038","24","2495.0000","6009515883539"
"TC770039","29","2710.5000","6009515883546"
"TC770040","22","2998.5000","6009515883553"
"TC780024","63","158.5000","6009515883560"
"TC780025","123","171.0000","6009515883577"
"TC780026","-75","189.0000","6009515883584"
"TC780027","131","205.0000","6009515883591"
"TC780028","124","223.5000","6009515883607"
"TC780029","-23","241.0000","6009515883614"
"TC780030","122","272.5000","6009515883621"
"TC780031","103","306.0000","6009515883638"
"TC780032","53","351.5000","6009515883645"
"TC780033","101","482.0000","6009515883652"
"TC780034","-2","646.0000","6009515883669"
"TC780035","12","785.5000","6009515883676"
"TC780036","0","1130.5000","6009515883683"
"TC780037","61","1628.0000","6009515883690"
"TC780038","4","1801.5000","6009515883706"
"TC780039","22","2193.5000","6009515883713"
"TC780040","19","2366.5000","6009515883720"
